,Board Name,Board Type,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,City,Province,Enrolment,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,"Percentage of Students Whose Parents Have No Degree, Diploma or Certificate"
1317,Greater Essex County DSB,Pub Dist Sch Brd (E/F),David Maxwell Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,225,0.0,1.0,0.0,0.05,0.1,0.0,0.7,18,0.7,11,0.74,33,0.68,21,0.76,41,0.36,24,0.2,0.1
1318,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Dougall Avenue Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,345,0.5,1.0,0.4,0.4,0.15,0.0,0.47,4,0.56,10,0.31,-12,0.51,-12,0.67,14,0.28,-4,0.5,0.4
1319,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Dr. David Suzuki Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,475,0.0,1.0,0.05,0.0,0.1,0.0,0.75,15,0.74,25,0.65,3,0.82,3,0.78,1,0.52,2,0.2,0.0
1320,Greater Essex County DSB,Pub Dist Sch Brd (E/F),East Mersea Public School,Public,Not applicable,Elementary,English,JK-8,Wheatley,Ontario,290,0.2,1.0,0.0,0.0,0.1,0.0,0.58,-5,0.55,-19,0.55,-3,0.78,6,0.91,30,0.57,13,0.15,0.4
1321,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Eastwood Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,280,0.3,1.0,0.1,0.1,0.15,0.0,0.86,18,0.91,15,0.73,21,0.88,-1,0.91,5,0.53,-7,0.3,0.1
1323,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Essex Public School,Public,Not applicable,Elementary,English,JK-8,Essex,Ontario,610,0.0,1.0,0.01,0.02,0.14,0.0,0.71,13,0.65,8,0.62,9,0.71,2,0.65,0,0.39,-5,0.16,0.02
1324,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Ford City Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,405,0.1,1.0,0.1,0.05,0.2,0.0,0.45,9,0.34,-5,0.45,9,0.74,23,0.67,32,0.26,5,0.4,0.05
1325,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Forest Glade Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,585,0.29,1.0,0.06,0.07,0.16,0.0,0.66,24,0.44,11,0.47,10,0.58,-16,0.56,-8,0.36,10,0.27,0.07
1326,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Frank W Begley Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,535,0.53,1.0,0.44,0.44,0.14,0.0,0.3,-13,0.24,-13,0.19,-18,0.39,-15,0.5,0,0.18,-17,0.71,0.3
1328,Greater Essex County DSB,Pub Dist Sch Brd (E/F),General Brock Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,315,0.35,1.0,0.3,0.3,0.1,0.0,0.38,10,0.38,10,0.38,4,0.5,0,0.5,-12,0.31,4,0.65,0.1
1329,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Giles Campus French Immersion Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,590,0.21,1.0,0.07,0.07,0.08,0.0,0.76,-9,0.91,6,0.57,-21,0.9,8,0.9,16,0.66,20,0.47,0.14
1330,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Glenwood Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,335,0.25,1.0,0.15,0.2,0.15,0.0,0.71,-18,0.62,-14,0.57,-27,0.76,-7,0.76,-4,0.59,-8,0.15,0.0
1331,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Gore Hill Public School,Public,Not applicable,Elementary,English,JK-8,Leamington,Ontario,290,0.1,1.0,0.0,0.0,0.05,0.0,0.67,28,0.61,18,0.7,45,0.53,-12,0.4,-7,0.27,-20,0.2,0.2
1332,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Gosfield North Public School,Public,Not applicable,Elementary,English,JK-8,Cottam,Ontario,455,0.0,1.0,0.0,0.0,0.1,0.0,0.74,-2,0.64,-16,0.67,4,0.87,3,0.75,-14,0.55,6,0.05,0.1
1333,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Harrow Public School,Public,Not applicable,Elementary,English,JK-8,Harrow,Ontario,405,0.0,1.0,0.0,0.0,0.2,0.0,0.71,6,0.64,6,0.62,4,0.77,14,0.82,15,0.36,-1,0.15,0.0
1335,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Hugh Beaton Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,315,0.0,1.0,0.0,0.0,0.15,0.0,0.9,11,0.81,10,0.77,15,0.79,16,0.86,19,0.46,25,0.15,0.0
1336,Greater Essex County DSB,Pub Dist Sch Brd (E/F),J A McWilliam Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,285,0.35,1.0,0.05,0.05,0.15,0.0,0.68,-11,0.79,8,0.47,-17,0.77,-2,0.71,-8,0.55,7,0.3,0.05
1337,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Jack Miner Public School,Public,Not applicable,Elementary,English,JK-8,Kingsville,Ontario,530,0.05,1.0,0.01,0.01,0.11,0.0,0.8,2,0.71,11,0.65,-4,0.8,-2,0.86,18,0.49,-8,0.12,0.14
1338,Greater Essex County DSB,Pub Dist Sch Brd (E/F),John Campbell Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,340,0.1,1.0,0.05,0.1,0.2,0.0,0.72,-18,0.72,-18,0.56,-30,0.72,1,0.59,14,0.26,16,0.35,0.1
1339,Greater Essex County DSB,Pub Dist Sch Brd (E/F),King Edward Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,335,0.15,1.0,0.1,0.15,0.15,0.0,0.5,5,0.43,-2,0.29,-11,0.93,23,0.93,41,0.37,14,0.45,0.1
1341,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Kingsville Public School,Public,Not applicable,Elementary,English,JK-8,Kingsville,Ontario,470,0.0,1.0,0.0,0.0,0.15,0.0,0.67,-7,0.61,-1,0.51,-1,0.69,-21,0.65,-7,0.37,-27,0.1,0.1
1342,Greater Essex County DSB,Pub Dist Sch Brd (E/F),LaSalle Public School,Public,Not applicable,Elementary,English,JK-8,LaSalle,Ontario,555,0.1,1.0,0.02,0.03,0.18,0.01,0.94,4,0.85,-5,0.87,2,0.97,10,0.94,17,0.76,2,0.07,0.0
1343,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Lakeshore Discovery School,Public,Not applicable,Elementary,English,JK-8,Emeryville,Ontario,970,0.13,1.0,0.01,0.01,0.12,0.0,0.78,1,0.78,-1,0.49,-21,0.78,-12,0.78,-2,0.43,-9,0.08,0.01
1345,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Legacy Oak Trail Public School Public School,Public,Not applicable,Elementary,English,JK-8,LaSalle,Ontario,330,0.0,1.0,0.0,0.0,0.1,0.0,0.77,-4,0.74,-7,0.58,-6,0.93,1,0.89,1,0.59,-21,0.05,0.0
1346,Greater Essex County DSB,Pub Dist Sch Brd (E/F),M S Hetherington Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,405,0.1,1.0,0.1,0.1,0.2,0.0,0.57,-10,0.45,-29,0.36,-8,0.67,-13,0.59,-24,0.24,-10,0.3,0.1
1347,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Malden Central Public School,Public,Not applicable,Elementary,English,JK-8,Amherstburg,Ontario,265,0.0,1.0,0.0,0.0,0.1,0.0,0.77,3,0.73,25,0.69,21,0.91,1,0.94,-6,0.65,-11,0.05,0.0
1348,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Margaret D Bennie Public School,Public,Not applicable,Elementary,English,JK-8,Leamington,Ontario,330,0.25,1.0,0.1,0.1,0.2,0.0,0.61,2,0.61,-7,0.36,-19,0.54,-32,0.51,-21,0.11,-34,0.25,0.3
1349,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Marlborough Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,495,0.3,1.0,0.15,0.15,0.15,0.0,0.57,-1,0.68,-3,0.41,-17,0.58,-6,0.62,-5,0.21,-6,0.6,0.15
1350,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Mount Carmel Blytheswood Public School,Public,Not applicable,Elementary,English,JK-8,Leamington,Ontario,295,0.15,1.0,0.1,0.1,0.1,0.0,0.68,1,0.68,-19,0.61,1,0.76,5,0.79,8,0.42,-1,0.2,0.4
1352,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Northwood Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,1050,0.48,1.0,0.17,0.16,0.1,0.0,0.64,5,0.56,2,0.52,8,0.87,4,0.92,13,0.71,15,0.36,0.06
1353,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Parkview Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,280,0.3,1.0,0.1,0.1,0.1,0.0,0.85,-3,0.69,-23,0.42,-46,0.65,-32,0.7,-20,0.25,-30,0.15,0.05
1355,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Prince Edward Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,560,0.43,1.0,0.38,0.4,0.09,0.0,0.6,-2,0.58,-7,0.38,-7,0.59,-12,0.62,-9,0.31,-7,0.54,0.2
1356,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Princess Elizabeth Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,250,0.1,1.0,0.05,0.05,0.1,0.0,0.65,23,0.42,-8,0.27,-6,0.74,-22,0.7,-17,0.26,-22,0.3,0.0
1357,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Queen Elizabeth Public School,Public,Not applicable,Elementary,English,JK-8,Leamington,Ontario,510,0.32,1.0,0.17,0.18,0.14,0.01,0.59,12,0.5,3,0.38,-8,0.69,9,0.68,20,0.33,8,0.27,0.25
1358,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Queen Victoria Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,495,0.25,1.0,0.25,0.2,0.15,0.0,0.52,4,0.57,-5,0.48,15,0.7,8,0.66,4,0.41,1,0.5,0.15
1360,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Roseland Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,465,0.4,1.0,0.15,0.15,0.1,0.0,0.62,-3,0.46,-22,0.36,-32,0.72,-5,0.7,10,0.43,-1,0.35,0.05
1361,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Roseville Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,245,0.3,1.0,0.1,0.1,0.15,0.0,0.67,15,0.75,9,0.67,15,0.86,27,0.9,28,0.38,16,0.65,0.2
1363,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Sandwich West Public School,Public,Not applicable,Elementary,English,JK-8,LaSalle,Ontario,800,0.08,1.0,0.03,0.02,0.09,0.0,0.85,2,0.82,10,0.59,-3,0.91,-2,0.89,-3,0.73,-6,0.06,0.01
1364,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Southwood Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,460,0.35,1.0,0.15,0.2,0.15,0.0,0.82,-8,0.75,-8,0.75,-8,0.86,-2,0.91,5,0.63,-7,0.15,0.0
1365,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Talbot Trail Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,925,0.53,1.0,0.12,0.12,0.12,0.01,0.81,0,0.77,-8,0.68,-2,0.89,11,0.92,12,0.62,2,0.22,0.02
1366,Greater Essex County DSB,Pub Dist Sch Brd (E/F),Tecumseh Vista Academy - Elementary,Public,Not applicable,Elementary,English,JK-8,Tecumseh,Ontario,965,0.11,1.0,0.01,0.01,0.09,0.0,0.84,13,0.88,20,0.73,26,0.86,-5,0.92,2,0.54,5,0.1,0.02
1369,Greater Essex County DSB,Pub Dist Sch Brd (E/F),W. F. Herman Academy Elementary School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,535,0.06,1.0,0.02,0.02,0.06,0.0,0.83,-2,0.91,12,0.72,-1,0.79,2,0.76,7,0.38,-2,0.31,0.07
1372,Greater Essex County DSB,Pub Dist Sch Brd (E/F),West Gate Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,680,0.24,1.0,0.16,0.16,0.17,0.0,0.62,15,0.59,9,0.51,18,0.54,3,0.64,17,0.18,-7,0.59,0.12
1375,Greater Essex County DSB,Pub Dist Sch Brd (E/F),William G Davis Public School,Public,Not applicable,Elementary,English,JK-8,Windsor,Ontario,310,0.15,1.0,0.1,0.1,0.15,0.0,0.42,-6,0.35,-4,0.35,12,0.65,-4,0.71,-3,0.29,-14,0.4,0.15
1434,Halton DSB,Pub Dist Sch Brd (E/F),Abbey Lane Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,345,0.4,1.0,0.1,0.1,0.25,0.0,0.7,-16,0.8,1,0.5,-5,0.74,-14,0.74,-6,0.43,-5,0.2,0.05
1440,Halton DSB,Pub Dist Sch Brd (E/F),Alexander's Public School,Public,Not applicable,Elementary,English,JK-8,BURLINGTON,Ontario,575,0.28,0.99,0.04,0.04,0.16,0.0,0.85,7,0.75,-5,0.79,20,0.88,-5,0.93,5,0.62,-2,0.06,0.0
1441,Halton DSB,Pub Dist Sch Brd (E/F),Alton Village Public School,Public,Not applicable,Elementary,English,JK-8,Burlington,Ontario,1105,0.51,1.0,0.09,0.09,0.11,0.0,0.89,3,0.88,-1,0.7,-8,0.91,2,0.93,8,0.62,17,0.08,0.01
1442,Halton DSB,Pub Dist Sch Brd (E/F),Anne J. MacArthur Public School,Public,Not applicable,Elementary,English,JK-8,Milton,Ontario,985,0.67,0.99,0.1,0.11,0.07,0.0,0.84,2,0.85,-4,0.68,0,0.91,5,0.9,2,0.61,3,0.18,0.01
1443,Halton DSB,Pub Dist Sch Brd (E/F),Boyne Public School,Public,Not applicable,Elementary,English,JK-8,Milton,Ontario,940,0.78,1.0,0.21,0.21,0.09,0.0,0.81,7,0.78,10,0.74,15,0.68,-14,0.82,-6,0.4,-2,0.17,0.01
1445,Halton DSB,Pub Dist Sch Brd (E/F),Brookdale Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,310,0.3,1.0,0.15,0.15,0.15,0.0,0.88,15,0.92,16,0.68,7,0.94,1,0.94,-3,0.63,-9,0.15,0.0
1446,Halton DSB,Pub Dist Sch Brd (E/F),Brookville Public School,Public,Not applicable,Elementary,English,JK-8,Campbellville,Ontario,365,0.15,1.0,0.0,0.0,0.1,0.0,0.88,5,0.68,-18,0.72,0,0.86,-3,0.84,-7,0.57,-2,0.05,0.0
1447,Halton DSB,Pub Dist Sch Brd (E/F),Bruce T Lindley Public School,Public,Not applicable,Elementary,English,JK-6,Burlington,Ontario,310,0.1,0.95,0.0,0.0,0.05,0.0,0.77,1,0.8,-2,0.6,-1,0.88,-2,0.89,-6,0.42,5,0.05,0.05
1448,Halton DSB,Pub Dist Sch Brd (E/F),Bruce Trail Public School,Public,Not applicable,Elementary,English,JK-8,Milton,Ontario,1195,0.59,1.0,0.1,0.1,0.13,0.0,0.66,-9,0.56,-27,0.52,-14,0.85,9,0.93,11,0.38,-10,0.11,0.02
1451,Halton DSB,Pub Dist Sch Brd (E/F),C H Norton Public School,Public,Not applicable,Elementary,English,JK-8,Burlington,Ontario,495,0.15,1.0,0.0,0.0,0.15,0.05,0.79,4,0.71,-2,0.71,7,0.9,2,0.94,10,0.69,18,0.1,0.0
1452,Halton DSB,Pub Dist Sch Brd (E/F),Captain R. Wilson Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,795,0.57,1.0,0.26,0.28,0.08,0.0,0.79,6,0.77,2,0.69,7,0.89,-2,0.93,8,0.82,17,0.11,0.01
1454,Halton DSB,Pub Dist Sch Brd (E/F),Central Public School,Public,Not applicable,Elementary,English,JK-6,Burlington,Ontario,345,0.25,1.0,0.1,0.1,0.1,0.0,0.73,-9,0.57,-18,0.61,6,0.91,1,0.91,-4,0.58,10,0.2,0.1
1455,Halton DSB,Pub Dist Sch Brd (E/F),Charles R. Beaudoin Public School,Public,Not applicable,Elementary,English,JK-8,Burlington,Ontario,665,0.31,0.97,0.05,0.04,0.09,0.19,0.83,-9,0.88,1,0.65,-18,0.92,2,0.85,-2,0.76,5,0.07,0.0
1456,Halton DSB,Pub Dist Sch Brd (E/F),Chris Hadfield Public School,Public,Not applicable,Elementary,English,JK-8,Milton,Ontario,780,0.56,0.99,0.13,0.13,0.09,0.0,0.75,-11,0.73,1,0.57,-15,0.81,-9,0.84,-7,0.59,9,0.1,0.04
1457,Halton DSB,Pub Dist Sch Brd (E/F),Clarksdale Public School,Public,Not applicable,Elementary,English,JK-6,Burlington,Ontario,380,0.25,0.95,0.05,0.05,0.1,0.0,0.77,4,0.61,-8,0.44,-2,0.9,-2,0.91,-3,0.31,-19,0.15,0.0
1462,Halton DSB,Pub Dist Sch Brd (E/F),E J James Public School,Public,Not applicable,Elementary,English,1-8,Oakville,Ontario,455,0.35,0.9,0.0,0.05,0.1,0.05,0.88,-7,0.87,-8,0.71,-21,0.98,-2,0.98,-2,0.88,14,0.05,0.0
1464,Halton DSB,Pub Dist Sch Brd (E/F),Eastview Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,455,0.25,1.0,0.1,0.05,0.2,0.0,0.8,-4,0.71,-13,0.69,-12,0.8,-5,0.8,-2,0.49,-6,0.1,0.0
1466,Halton DSB,Pub Dist Sch Brd (E/F),Emily Carr Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,830,0.49,0.99,0.18,0.18,0.12,0.01,0.78,3,0.71,-6,0.59,-3,0.8,-3,0.85,2,0.47,-13,0.11,0.01
1467,Halton DSB,Pub Dist Sch Brd (E/F),Escarpment View Public School,Public,Not applicable,Elementary,English,JK-8,Milton,Ontario,1135,0.62,0.99,0.12,0.12,0.09,0.0,0.85,7,0.81,7,0.64,-4,0.86,-2,0.86,-8,0.49,-3,0.12,0.0
1468,Halton DSB,Pub Dist Sch Brd (E/F),Ethel Gardiner Public School,Public,Not applicable,Elementary,English,JK-8,Georgetown,Ontario,670,0.19,1.0,0.02,0.02,0.15,0.06,0.81,-4,0.81,-9,0.78,-2,0.91,1,0.96,9,0.59,-2,0.04,0.01
1469,Halton DSB,Pub Dist Sch Brd (E/F),Falgarwood Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,595,0.53,1.0,0.21,0.22,0.13,0.0,0.69,-4,0.56,-2,0.54,-13,0.86,7,0.89,16,0.56,0,0.14,0.03
1470,Halton DSB,Pub Dist Sch Brd (E/F),Florence Meares Public School,Public,Not applicable,Elementary,English,JK-8,Burlington,Ontario,675,0.19,0.99,0.07,0.07,0.14,0.0,0.77,5,0.72,0,0.62,2,0.85,9,0.84,15,0.46,0,0.1,0.0
1471,Halton DSB,Pub Dist Sch Brd (E/F),Forest Trail Public School (Elementary),Public,Not applicable,Elementary,English,1-8,Oakville,Ontario,620,0.55,0.96,0.04,0.05,0.05,0.03,0.98,4,0.92,1,0.89,-1,1.0,3,0.99,3,0.78,0,0.1,0.01
1472,Halton DSB,Pub Dist Sch Brd (E/F),Frontenac Public School,Public,Not applicable,Elementary,English,JK-8,Burlington,Ontario,570,0.13,1.0,0.03,0.03,0.2,0.01,0.77,-1,0.58,-20,0.54,-7,0.89,1,0.85,5,0.43,3,0.08,0.01
1478,Halton DSB,Pub Dist Sch Brd (E/F),Gladys Speers Public School,Public,Not applicable,Elementary,English,JK-6,Oakville,Ontario,395,0.3,1.0,0.1,0.1,0.1,0.0,0.74,-6,0.74,-8,0.67,-3,0.86,0,0.92,4,0.42,-16,0.1,0.0
1480,Halton DSB,Pub Dist Sch Brd (E/F),Glenview Public School,Public,Not applicable,Elementary,English,JK-6,Burlington,Ontario,345,0.1,1.0,0.05,0.0,0.1,0.0,0.85,11,0.65,-11,0.53,-15,0.86,-4,0.94,14,0.63,10,0.1,0.0
1482,Halton DSB,Pub Dist Sch Brd (E/F),Hawthorne Village Public School,Public,Not applicable,Elementary,English,JK-8,Milton,Ontario,1065,0.46,1.0,0.05,0.05,0.14,0.0,0.75,-1,0.64,-11,0.66,3,0.85,2,0.88,9,0.45,-11,0.09,0.03
1483,Halton DSB,Pub Dist Sch Brd (E/F),Heritage Glen Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,660,0.49,0.98,0.12,0.12,0.1,0.01,0.91,-1,0.91,3,0.84,3,0.91,-1,0.93,1,0.57,-8,0.17,0.03
1484,Halton DSB,Pub Dist Sch Brd (E/F),Irma Coulson Public School,Public,Not applicable,Elementary,English,JK-8,Milton,Ontario,1055,0.57,0.99,0.13,0.13,0.09,0.01,0.84,0,0.78,2,0.61,-10,0.91,4,0.9,-1,0.54,-5,0.1,0.02
1487,Halton DSB,Pub Dist Sch Brd (E/F),James W. Hill Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,635,0.56,0.98,0.11,0.11,0.09,0.01,0.92,-1,0.91,2,0.78,-4,0.96,0,0.96,0,0.79,16,0.13,0.05
1488,Halton DSB,Pub Dist Sch Brd (E/F),John T Tuck Public School,Public,Not applicable,Elementary,English,JK-8,Burlington,Ontario,750,0.12,0.99,0.03,0.04,0.1,0.01,0.9,2,0.94,0,0.81,-2,0.96,8,0.97,8,0.76,-2,0.08,0.0
1489,Halton DSB,Pub Dist Sch Brd (E/F),John William Boich Public School,Public,Not applicable,Elementary,English,JK-8,Burlington,Ontario,690,0.32,0.99,0.09,0.09,0.1,0.01,0.89,3,0.8,-11,0.8,6,0.84,5,0.82,-1,0.46,1,0.06,0.02
1491,Halton DSB,Pub Dist Sch Brd (E/F),Joshua Creek Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,910,0.67,1.0,0.25,0.25,0.05,0.01,0.96,8,0.93,6,0.89,5,0.96,1,0.97,4,0.75,-5,0.1,0.0
1492,Halton DSB,Pub Dist Sch Brd (E/F),Kilbride Public School,Public,Not applicable,Elementary,English,JK-8,Kilbride,Ontario,250,0.2,1.0,0.0,0.0,0.15,0.0,0.75,-18,0.8,0,0.75,-5,0.8,-10,0.68,-9,0.42,-23,0.1,0.0
1493,Halton DSB,Pub Dist Sch Brd (E/F),Kings Road Public School,Public,Not applicable,Elementary,English,JK-6,Burlington,Ontario,275,0.25,1.0,0.2,0.2,0.1,0.0,0.62,6,0.38,-14,0.31,9,0.81,4,0.71,16,0.26,8,0.2,0.15
1494,Halton DSB,Pub Dist Sch Brd (E/F),Lakeshore Public School,Public,Not applicable,Elementary,English,JK-6,Burlington,Ontario,255,0.1,1.0,0.1,0.1,0.1,0.05,0.78,-7,0.75,13,0.69,-8,0.82,18,0.79,11,0.43,-1,0.1,0.05
1497,Halton DSB,Pub Dist Sch Brd (E/F),Makwendam Public School,Public,Not applicable,Elementary,English,JK-6,Burlington,Ontario,230,0.2,1.0,0.05,0.05,0.2,0.05,0.9,0,0.9,7,0.72,-2,0.82,-1,0.91,8,0.18,-10,0.15,0.05
1498,Halton DSB,Pub Dist Sch Brd (E/F),Maple Grove Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,560,0.38,1.0,0.18,0.19,0.11,0.01,0.84,-1,0.84,-1,0.77,-4,0.91,2,0.94,-2,0.59,-6,0.09,0.0
1499,Halton DSB,Pub Dist Sch Brd (E/F),Maplehurst Public School,Public,Not applicable,Elementary,English,JK-6,Burlington,Ontario,350,0.25,1.0,0.05,0.05,0.1,0.0,0.84,12,0.67,1,0.6,-6,0.85,-5,0.85,-5,0.7,-8,0.1,0.0
1501,Halton DSB,Pub Dist Sch Brd (E/F),McKenzie-Smith Bennett Public School,Public,Not applicable,Elementary,English,JK-8,Acton,Ontario,640,0.04,0.99,0.0,0.01,0.22,0.0,0.64,-6,0.67,15,0.73,17,0.69,8,0.75,10,0.19,-8,0.08,0.03
1505,Halton DSB,Pub Dist Sch Brd (E/F),Mohawk Gardens Public School,Public,Not applicable,Elementary,English,JK-6,Burlington,Ontario,395,0.1,1.0,0.0,0.0,0.1,0.0,0.67,-15,0.7,14,0.47,3,0.66,-5,0.61,-7,0.22,-28,0.1,0.0
1506,Halton DSB,Pub Dist Sch Brd (E/F),Montclair Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,460,0.45,1.0,0.2,0.15,0.15,0.0,0.5,-17,0.36,-38,0.28,-5,0.63,-14,0.66,-14,0.39,3,0.15,0.05
1507,Halton DSB,Pub Dist Sch Brd (E/F),Munn's Public School,Public,Not applicable,Elementary,English,1-8,Oakville,Ontario,520,0.63,0.97,0.04,0.04,0.05,0.04,0.93,-3,0.87,-6,0.84,-3,0.96,-2,0.98,4,0.83,31,0.12,0.02
1509,Halton DSB,Pub Dist Sch Brd (E/F),New Central Public School,Public,Not applicable,Elementary,English,JK-6,Oakville,Ontario,315,0.25,1.0,0.1,0.1,0.15,0.0,0.96,17,0.89,13,0.79,-3,0.85,-5,0.85,-10,0.56,-4,0.1,0.0
1512,Halton DSB,Pub Dist Sch Brd (E/F),Oodenawi Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,1140,0.7,0.99,0.21,0.21,0.09,0.01,0.88,-1,0.87,-1,0.81,-1,0.91,2,0.93,3,0.61,-4,0.15,0.01
1513,Halton DSB,Pub Dist Sch Brd (E/F),Orchard Park Public School,Public,Not applicable,Elementary,English,JK-8,Burlington,Ontario,505,0.38,0.99,0.06,0.06,0.08,0.02,0.9,-2,0.85,3,0.79,1,0.88,-1,0.88,-1,0.45,-5,0.06,0.0
1514,Halton DSB,Pub Dist Sch Brd (E/F),P. L. Robertson Public School,Public,Not applicable,Elementary,English,JK-8,Milton,Ontario,1020,0.58,0.99,0.11,0.11,0.09,0.0,0.84,-1,0.81,-8,0.75,-5,0.85,2,0.87,4,0.41,-7,0.12,0.01
1515,Halton DSB,Pub Dist Sch Brd (E/F),Palermo Public School,Public,Not applicable,Elementary,English,JK-8,Oakville,Ontario,765,0.54,0.99,0.13,0.14,0.07,0.0,0.83,-2,0.66,-13,0.7,-7,0.87,6,0.92,2,0.4,-10,0.12,0.01
1517,Halton DSB,Pub Dist Sch Brd (E/F),Paul A Fisher Public School,Public,Not applicable,Elementary,English,JK-6,Burlington,Ontario,250,0.15,1.0,0.0,0.05,0.2,0.0,0.84,11,0.84,7,0.59,-18,1.0,6,1.0,3,0.79,8,0.05,0.0
